date,année,île,site,île x site,identificateur,n° quadrat,genre,recouvrement %,observation 1,observation 2,observation 3,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,19,Acropora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,20,Acropora,11.11,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,1,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,2,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,3,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,4,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,5,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,6,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,7,Astrea curta,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,8,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,9,Astrea curta,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,10,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,11,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,12,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,13,Astrea curta,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,14,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,15,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,16,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,17,Astrea curta,2.47,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,18,Astrea curta,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,19,Astrea curta,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,20,Astrea curta,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,1,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,2,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,3,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,4,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,5,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,6,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,7,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,8,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,9,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,10,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,11,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,12,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,13,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,14,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,15,Autres,2.47,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,16,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,17,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,18,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,19,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,20,Autres,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,1,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,2,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,3,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,4,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,5,Fungia,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,6,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,7,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,8,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,9,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,10,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,11,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,12,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,13,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,14,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,15,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,16,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,17,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,18,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,19,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,20,Fungia,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,1,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,2,Montipora,4.94,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,3,Montipora,6.17,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,4,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,5,Montipora,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,6,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,7,Montipora,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,8,Montipora,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,9,Montipora,2.47,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,10,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,11,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,12,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,13,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,14,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,15,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,16,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,17,Montipora,2.47,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,18,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,19,Montipora,3.70,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,20,Montipora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,1,Pocillopora,6.17,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,2,Pocillopora,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,3,Pocillopora,9.88,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,4,Pocillopora,11.11,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,5,Pocillopora,6.17,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,6,Pocillopora,12.35,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,7,Pocillopora,7.41,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,8,Pocillopora,9.88,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,9,Pocillopora,6.17,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,10,Pocillopora,9.88,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,11,Pocillopora,16.05,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,12,Pocillopora,8.64,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,13,Pocillopora,9.88,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,14,Pocillopora,4.94,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,15,Pocillopora,9.88,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,16,Pocillopora,8.64,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,17,Pocillopora,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,18,Pocillopora,3.70,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,19,Pocillopora,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,20,Pocillopora,4.94,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,1,Porites,6.17,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,2,Porites,1.23,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,3,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,4,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,5,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,6,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,7,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,8,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,9,Porites,2.47,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,10,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,11,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,12,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,13,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,14,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,15,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,16,Porites,6.17,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,17,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,18,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,19,Porites,0.00,,,,,,
1993-03-19,1993,moorea,e2b,Moorea Entre 2 Baies,Yannick Chancerelle,20,Porites,2.47,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,1,Acropora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,2,Acropora,4.94,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,3,Acropora,4.94,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,4,Acropora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,5,Acropora,7.41,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,6,Acropora,2.47,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,7,Acropora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,8,Acropora,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,9,Acropora,4.94,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,10,Acropora,12.35,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,11,Acropora,6.17,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,12,Acropora,7.41,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,13,Acropora,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,14,Acropora,3.70,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,15,Acropora,4.94,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,16,Acropora,4.94,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,17,Acropora,6.17,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,18,Acropora,12.35,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,19,Acropora,3.70,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,20,Acropora,13.58,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,1,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,2,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,3,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,4,Astrea curta,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,5,Astrea curta,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,6,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,7,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,8,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,9,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,10,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,11,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,12,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,13,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,14,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,15,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,16,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,17,Astrea curta,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,18,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,19,Astrea curta,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,20,Astrea curta,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,1,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,2,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,3,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,4,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,5,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,6,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,7,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,8,Autres,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,9,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,10,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,11,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,12,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,13,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,14,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,15,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,16,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,17,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,18,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,19,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,20,Autres,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,1,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,2,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,3,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,4,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,5,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,6,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,7,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,8,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,9,Fungia,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,10,Fungia,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,11,Fungia,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,12,Fungia,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,13,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,14,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,15,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,16,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,17,Fungia,2.47,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,18,Fungia,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,19,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,20,Fungia,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,1,Montipora,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,2,Montipora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,3,Montipora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,4,Montipora,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,5,Montipora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,6,Montipora,3.70,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,7,Montipora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,8,Montipora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,9,Montipora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,10,Montipora,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,11,Montipora,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,12,Montipora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,13,Montipora,1.23,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,14,Montipora,0.00,,,,,,
1993-10-15,1993,tahiti,faaa,Tahiti Faaa,Yannick Chancerelle,15,Montipora,0.00,,,,,,
